Number,Lat,Lon,Landcover_classification,Corrected_Peat_thickness_m,Measured_Carbon_density_Mg_ha
338,0.29007,18.82155,Hardwood peat swamp forest,3.6,NA
339,0.28833,18.82291,Hardwood peat swamp forest,2.4,NA
340,0.28677,18.82454,Hardwood peat swamp forest,3.02,NA
341,0.28505,18.82593,Hardwood peat swamp forest,4.02,NA
342,0.28348,18.82755,Hardwood peat swamp forest,3.9,"4,731"
343,0.29254,18.74953,Water,NA,NA
344,-0.29392,18.21257,Savanna,0,NA
345,-0.2906,18.22528,Savanna,0,NA
346,-0.29195,18.2264,Savanna,0,NA
347,-0.29363,18.21274,Savanna,0,NA
348,-0.29303,18.21037,Savanna,0,NA
349,-0.2918,18.20826,Savanna,0,NA
350,-0.29272,18.21032,Savanna,0,NA
351,-0.29502,18.22626,Savanna,0,NA
352,-0.28977,18.22165,Non-peat forming forest,0,NA
353,-0.29252,18.22088,Non-peat forming forest,0,NA
354,-0.28974,18.22194,Non-peat forming forest,0,NA
355,-0.28935,18.22365,Savanna,0,NA
356,-0.29321,18.22016,Hardwood peat swamp forest,2.75,NA
357,-0.28999,18.22109,Hardwood peat swamp forest,3.4,NA
358,-0.2973,18.20733,Non-peat forming forest,0,NA
359,-0.29867,18.20575,Non-peat forming forest,0,NA
360,-0.30026,18.20418,Hardwood peat swamp forest,1.29,NA
361,-0.30172,18.20244,Hardwood peat swamp forest,4.37,NA
362,-0.3032,18.20069,Hardwood peat swamp forest,4.1,NA
363,-0.30461,18.19898,Hardwood peat swamp forest,5.44,NA
364,-0.30612,18.19728,Hardwood peat swamp forest,5.62,NA
365,-0.30748,18.19565,Palm peat swamp forest,4.7,NA
366,-0.30911,18.19393,Palm peat swamp forest,4.3,"2,855"
367,-0.31053,18.19225,Palm peat swamp forest,4.88,NA
368,-0.31204,18.1905,Hardwood peat swamp forest,4.6,NA
369,-0.31342,18.18887,Palm peat swamp forest,4.7,NA
370,-0.31495,18.1871,Hardwood peat swamp forest,2.9,NA
371,-0.31645,18.18544,Palm peat swamp forest,1.86,NA
372,-0.31797,18.18385,Hardwood peat swamp forest,5.72,NA
373,-0.31947,18.18215,Hardwood peat swamp forest,5.78,NA
374,-0.32095,18.18046,Hardwood peat swamp forest,5.1,"3,561"
375,-0.32248,18.17873,Hardwood peat swamp forest,6.02,NA
376,-0.32399,18.17702,Hardwood peat swamp forest,5.74,NA
377,-0.32542,18.17533,Hardwood peat swamp forest,5.84,NA
378,-0.32684,18.17344,Hardwood peat swamp forest,6,"3,913"
379,-0.2947,18.22563,Savanna,0,NA
